CowTagID,Sample_Weight,N_ug,del15N,C_ug,del13C, N_percent,C_percent,C_N
C1,2.4417,15.6,3.5,756,-9.6,0.638899128,30.96203465,48.46153846
C3,2.5991,20,3.2,789.1,-8.8,0.769497134,30.36050941,39.455
C4,2.5727,16.2,3.5,700.8,-8.8,0.629688654,27.23986473,43.25925926
C5,2.7075,16,3.5,779.4,-8.6,0.590951062,28.7867036,48.7125
C6,2.4785,14.3,3.4,680.7,-10.5,0.576961872,27.46419205,47.6013986
C7,2.7252,19.5,3.6,766.3,-9.2,0.715543813,28.11903713,39.2974359
C2,2.5845,17.5,3.5,736.3,-9,0.677113562,28.48906945,42.07428571
C8,2.3707,13.8,3.4,660.1,-8.6,0.582106551,27.84409668,47.83333333
C9,2.6167,17,3.2,756.9,-9.7,0.649673253,28.92574617,44.52352941
C10,2.5617,14.5,3.1,716.9,-8.3,0.56603037,27.98532225,49.44137931
C11,2.6166,20.2,3.1,755.5,-9.4,0.771994191,28.87334709,37.4009901
C12,2.5213,21.6,3.3,737.1,-9.3,0.856700908,29.23491849,34.125
C13,2.5267,19,3.2,716.8,-9,0.751968971,28.36901888,37.72631579
C14,2.6377,16.2,3.4,773.4,-9,0.614171437,29.32099936,47.74074074
C15,2.5673,24.6,3,858,-10.2,0.958205118,33.42032485,34.87804878
C16,2.5188,21.2,3.3,713.7,-9.3,0.841670637,28.33492139,33.66509434
C17,2.5519,18.8,3.4,746.3,-8.4,0.736705984,29.24487637,39.69680851
C18,2.5269,19.3,3,697.4,-10.4,0.763781709,27.59903439,36.13471503
C19,2.5966,21.9,3.5,743.5,-8.9,0.843410614,28.63359778,33.94977169
C20,2.5269,21.8,3.7,686.9,-9.1,0.862717163,27.18350548,31.50917431
CSEEP,2.5548,15.1,3.5,746.9,-8.2,0.591044309,29.23516518,49.46357616
V1,2.6618,25.2,4.6,870.3,-9.8,0.946727778,32.69592005,34.53571429
V2,2.5177,26.4,4.4,849.9,-13.1,1.048576081,33.75700044,32.19318182
V3,2.5442,27.5,4,892.4,-10.4,1.080889867,35.07585882,32.45090909
V4,2.6634,30.9,3.9,912.8,-12.1,1.16017121,34.27198318,29.54045307
V5,2.6362,25.7,4.1,887.6,-10.3,0.974888097,33.66967605,34.53696498
V6,2.4765,26.6,4.9,833.8,-10.3,1.074096507,33.66848375,31.34586466
V7,2.503,24.9,4.8,780.1,-10.5,0.994806233,31.16660008,31.32931727
V8,2.5556,32.3,5.2,870.7,-11.4,1.263891063,34.07027704,26.95665635
V9,2.5896,23.1,3.6,885.6,-9.2,0.892029657,34.19833179,38.33766234
V10,2.5469,24.9,4,838.2,-11.3,0.977659115,32.9105972,33.6626506
V11,2.6013,30.9,4.5,876,-10.6,1.187867605,33.67546996,28.34951456
V12,2.4693,27.2,3.8,846.5,-15.5,1.101526748,34.28097032,31.12132353
V13,2.5605,24.3,3.6,883.1,-11.3,0.949033392,34.48935755,36.34156379
V14,2.5775,23,4.5,845,-10.4,0.892337536,32.78370514,36.73913043
V15,2.6503,30.2,4.6,908.8,-10.8,1.139493642,34.29045768,30.09271523
V16,2.498,21.9,3.7,836.9,-10.5,0.876701361,33.50280224,38.21461187
V17,2.5281,27.3,4.3,841.7,-10.2,1.079862347,33.29377794,30.83150183
V18,2.4145,28.2,4.3,817.5,-11.4,1.167943674,33.8579416,28.9893617
V19,2.6137,27.1,3.5,928.1,-9.5,1.03684432,35.50904848,34.24723247
V20,2.5397,25.1,3.8,842.7,-12.9,0.988305705,33.18108438,33.57370518
VSEEP,2.4894,31.1,8,807.5,-12.1,1.249297019,32.43753515,25.96463023
