CowTagID,Location,Dist_TopPlate_cm,Dist_CT_cm,Time,Date
V20,Varari,38,65,7:48:00,6/3/2022
V14,Varari,33,62,7:57:00,6/3/2022
V17,Varari,44,70,8:13:00,6/3/2022
V19,Varari,50,79,8:20:00,6/3/2022
V9,Varari,57,80,8:36:00,6/3/2022
V10,Varari,15,32,8:47:00,6/3/2022
V8,Varari,18,39,8:57:00,6/3/2022
V18,Varari,10,34,9:04:00,6/3/2022
V7,Varari,21,45,9:14:00,6/3/2022
V11,Varari,30,53,9:35:00,6/3/2022
V12,Varari,35,59,9:42:00,6/3/2022
V6,Varari,41,70,9:54:00,6/3/2022
V15,Varari,22,40,10:00:00,6/3/2022
V5,Varari,48,70,10:06:00,6/3/2022
V4,Varari,40,61,10:13:00,6/3/2022
V16,Varari,50,78,10:20:00,6/3/2022
V3,Varari,30,50,10:27:00,6/3/2022
V2,Varari,45,70,10:32:00,6/3/2022
V1,Varari,55,76,10:37:00,6/3/2022
V13,Varari,40,79,11:55:00,6/3/2022
CSEEP,Cabral,12,45,12:31:00,6/23/2022
C16,Cabral,62,90,12:23:00,6/23/2022
C12,Cabral,65,90,11:59:00,6/23/2022
C11,Cabral,70,103,11:56:00,6/23/2022
C7,Cabral,72,94,11:53:00,6/23/2022
C8,Cabral,80,96,11:48:00,6/23/2022
C10,Cabral,89,107,12:12:00,6/23/2022
C13,Cabral,35,65,12:07:00,6/23/2022
C17,Cabral,79,112,10:17:00,6/23/2022
C19,Cabral,65,87,10:46:00,6/23/2022
C18,Cabral,68,100,10:55:00,6/23/2022
C15,Cabral,80,105,11:00:00,6/23/2022
C3,Cabral,95,110,11:06:00,6/23/2022
C2,Cabral,50,82,11:10:00,6/23/2022
C1,Cabral,52,75,11:14:00,6/23/2022
C20,Cabral,49,67,11:19:00,6/23/2022
C4,Cabral,59,86,11:24:00,6/23/2022
C5,Cabral,50,86,11:29:00,6/23/2022
C14,Cabral,95,117,11:34:00,6/23/2022
C9,Cabral,60,83,11:38:00,6/23/2022
C6,Cabral,99,130,11:41:00,6/23/2022
